Invoice_DateTime,Revenue
2012-04-02,2525.442
2012-04-03,3455.840652173912
2012-04-04,2958.108205128206
2012-04-05,4157.551162790699
2012-04-06,5010.062244897959
2012-04-07,4479.229787234044
2012-04-08,4025.4667303517163
2012-04-09,3571.7036734693884
2012-04-10,4745.181714285714
2012-04-11,3634.255744680851
2012-04-12,4960.602769230769
2012-04-13,3647.2792
2012-04-14,5162.794098360655
2012-04-15,4139.591382513661
2012-04-16,3116.388666666667
2012-04-17,4802.452424242424
2012-04-18,2747.5911363636374
2012-04-19,5272.2350000000015
2012-04-20,4258.4409259259255
2012-04-21,5940.554583333333
2012-04-22,5371.8193969298245
2012-04-23,4803.084210526316
2012-04-24,5268.953
2012-04-25,7007.517567567567
2012-04-26,6392.246226415096
2012-04-27,6478.77375
2012-04-28,5630.241637931032
2012-04-29,8902.703055555556
2012-04-30,9071.845473684209
2012-05-01,5718.5392519936195
2012-05-02,2365.233030303031
2012-05-03,3183.4546511627905
2012-05-04,5101.620727272726
2012-05-05,5497.637647058823
2012-05-06,1062.5333333333333
2012-05-07,4303.815178571429
2012-05-08,3576.665076923076
2012-05-09,3173.1079120879126
2012-05-10,4173.591935483871
2012-05-11,5295.919056603774
2012-05-12,4624.2181578947375
2012-05-13,4697.246112845674
2012-05-14,4770.274067796611
2012-05-15,3163.2779166666664
2012-05-16,4960.55875
2012-05-17,4861.446493506493
2012-05-18,5127.928285714285
2012-05-19,4467.515227272727
2012-05-20,4164.44859848485
2012-05-21,3861.3819696969717
2012-05-22,5321.914000000002
2012-05-23,4304.217241379311
2012-05-24,4026.7750769230774
2012-05-25,5755.415116279071
2012-05-26,4330.560877192983
2012-05-27,4771.603095238095
2012-05-28,3833.710571428572
2012-05-29,7946.856935483872
2012-05-30,4212.36180327869
2012-05-31,10001.5191509434
2012-06-01,2851.6736734693886
2012-06-02,3311.879692307691
2012-06-03,3696.574236397748
2012-06-04,4081.2687804878046
2012-06-05,3983.0979629629624
2012-06-06,3521.847580645161
2012-06-07,4467.173205128207
2012-06-08,3078.9836
2012-06-09,4198.457638888888
2012-06-10,4569.918819444444
2012-06-11,4941.38
2012-06-12,4781.664202898551
2012-06-13,4362.298484848485
2012-06-14,5709.825384615383
2012-06-15,4518.289827586207
2012-06-16,3719.7749999999987
2012-06-17,3788.5501562499994
2012-06-18,3857.3253124999997
2012-06-19,3983.222428571428
2012-06-20,4203.820526315789
2012-06-21,3619.7681012658227
2012-06-22,5031.81435483871
2012-06-23,3462.4748076923083
2012-06-24,3679.779565217391
2012-06-25,5404.053787878787
2012-06-26,5600.234259259258
2012-06-27,8591.527471264371
2012-06-28,5801.998795180724
2012-06-29,8767.909333333335
2012-06-30,9251.74904761904
2012-07-01,6289.289118404114
2012-07-02,3326.829189189188
2012-07-03,4935.574843750001
2012-07-04,3777.7924528301887
2012-07-05,3865.645416666667
2012-07-06,2661.6827536231885
2012-07-07,3249.6885585585574
2012-07-08,3506.2060974610977
2012-07-09,3762.7236363636375
2012-07-10,3701.3910769230765
2012-07-11,4096.893181818181
2012-07-12,4751.871641791044
2012-07-13,4270.688800000001
2012-07-14,4236.769911504426
2012-07-15,4588.794576964334
2012-07-16,4940.8192424242425
2012-07-17,3977.6460714285704
2012-07-18,5967.561400000002
2012-07-19,4394.9463235294115
2012-07-20,4733.353902439024
2012-07-21,3371.4016666666657
2012-07-22,3590.581426553672
2012-07-23,3809.7611864406776
2012-07-24,3761.572475247525
2012-07-25,4050.6226506024095
2012-07-26,4913.366857142859
2012-07-27,5546.849895833332
2012-07-28,4117.953564356436
2012-07-29,8209.725066666666
2012-07-30,6704.636931818182
2012-07-31,9686.786884057972
2012-08-01,3010.7740816326536
2012-08-02,2894.8742307692305
2012-08-03,3057.6996296296284
2012-08-04,3462.037763157894
2012-08-05,2757.5045958646615
2012-08-06,2052.9714285714285
2012-08-07,4349.526373626374
2012-08-08,3599.5057407407403
2012-08-09,4698.679827586207
2012-08-10,4454.572121212121
2012-08-11,3231.857530864197
2012-08-12,3107.830289822343
2012-08-13,2983.803048780488
2012-08-14,5919.932738095237
2012-08-15,4605.051541461412
2012-08-16,3290.170344827586
2012-08-17,4236.5640243902435
2012-08-18,5076.88680851064
2012-08-19,4669.424436001351
2012-08-20,4261.962063492063
2012-08-21,4496.9614893617045
2012-08-22,4378.185714285716
2012-08-23,4371.596703296703
2012-08-24,4068.8721839080454
2012-08-25,5087.4363095238095
2012-08-26,3777.1656756756743
2012-08-27,5947.809545454546
2012-08-28,3475.6149999999993
2012-08-29,5317.697395833334
2012-08-30,10755.341714285716
2012-08-31,7605.513720930237
2012-09-01,3470.9633928571434
2012-09-02,3344.924196428572
2012-09-03,3218.885000000001
2012-09-04,3669.4415999999997
2012-09-05,4065.2756140350875
2012-09-06,4566.508970588235
2012-09-07,5533.187884615386
2012-09-08,4462.3286
2012-09-09,4342.285669863015
2012-09-10,4222.242739726029
2012-09-11,4269.184303797469
2012-09-12,4244.157948717951
2012-09-13,5889.425625000001
2012-09-14,4750.434096385541
2012-09-15,4112.891176470588
2012-09-16,4861.797006145742
2012-09-17,5610.702835820895
2012-09-18,4122.2428260869565
2012-09-19,4170.66249147485
2012-09-20,4219.082156862744
2012-09-21,3876.723387096773
2012-09-22,4069.399625000001
2012-09-23,4718.111327651515
2012-09-24,5366.82303030303
2012-09-25,5187.592307692308
2012-09-26,3810.1823456790125
2012-09-27,5244.580408163267
2012-09-28,4652.877999999998
2012-09-29,6258.3378
2012-09-30,8944.145384615384
2012-10-01,2578.700576923077
